name,city,field,lon,lat
"Gladstone, Dale M.","Brooklyn, NY",ComicBook,-73.944158,40.678178
"Gomes, John Illustration",,ComicBook,,
"Goodin, Robert",,ComicBook,,
"Graham, Kaela","Seattle, WA",ComicBook,47.606209,-122.332071
"Gregory, Roberta","Seattle, WA",ComicBook,47.606209,-122.332071
"Griak, Charlie",,ComicBook,,
"Grossman, Rhoda","Mill Valley, CA",ComicBook,-122.544976,37.906037
"Hall, Marcellus",,ComicBook,,
"Hamann, Brad","Portles, NM",ComicBook,-103.334398,34.186192
"Hamilton, Pamela",,ComicBook,,
"Hammond, Ted",,ComicBook,,
"Hampton, Justin",,ComicBook,,
"Hanuka, Asaf",,ComicBook,,
"Harkey, Kevin","Coventry, VT",ComicBook,-72.261607,44.867617
"Harman, Micah","Greenacres, WA",ComicBook,-117.16438,47.667771
"Harper, Fred","New York, NY",ComicBook,-74.005973,40.712775
"Harris, Dwayne Illustration","Kalispell, MT",ComicBook,-114.316813,48.191989
"Harris, Jack",,ComicBook,,
"Harris, Marty",,ComicBook,,
"Harris, Ray Studio",,ComicBook,,
"Harris, Wade","Charleston, SC",ComicBook,-79.931051,32.776475
"Hartland, Jessie","New York, NY",ComicBook,-74.005973,40.712775
"Haya, Erwin",,ComicBook,,
"Helton, David","Chattanooga, TN",ComicBook,-85.30968,35.04563
"Hendrix, Shepherd",,ComicBook,,
"High, Greg","Escondido, CA",ComicBook,-117.086421,33.119207
"Hill, Ron","Solon, OH",ComicBook,-81.441226,41.389776
"Hinds, Gareth",,ComicBook,,
Hi Road Productions,"Chicago, IL",ComicBook,-87.629798,41.878114
"Hische, Jessica",,ComicBook,,
"Hoff, Julie Pace","La Quinta, CA",ComicBook,-116.310009,33.663357
"Hom, John","Westlake Village, CA",ComicBook,-118.807373,34.146647
"Hom, Phillip",,ComicBook,,
"Hood, Joshua","Savannah, GA",ComicBook,-81.091203,32.080899
"Hrybyk, Laurent",,ComicBook,,
"Huddleston, Mike",,ComicBook,,
"Huerta, Catherine",,ComicBook,,
"Huff, Don Illustration & Design","Dallas, TX",ComicBook,-96.796988,32.776664
Hummel Illustrations,,ComicBook,,
"Hunter, Alexander W.","Brandywine, MD",ComicBook,-76.847748,38.696783
IXT Studio,,ComicBook,,
"Jackson, Lucky",,ComicBook,,
"Jagmin, Christopher",,ComicBook,,
"James, Thomas",,ComicBook,,
"Jean, James","Santa Monica, CA",ComicBook,-118.491191,34.019454
"Jew, Anson","Los Angeles, CA",ComicBook,-118.243685,34.052234
"Johannsen, Robert","Mississauga, ON",ComicBook,-79.64412,43.589045
"Johnson, Alton Jr.",,ComicBook,,
"Johnson, Shane L.",,ComicBook,,
"Jones, Randy","New York, NY",ComicBook,-74.005973,40.712775
"Jost, Larry",,ComicBook,,
"Jukes, James","Kansas City, KS",ComicBook,-94.627464,39.114053
"Kakeda, Aya",,ComicBook,,
"Kaminoff Comix +, Lara Illustration",,ComicBook,,
"Kaneshiro, Micah",,ComicBook,,
"Keegan, Caitlin","Brooklyn, NY",ComicBook,-73.944158,40.678178
"Kendall, Brad","Providence, RI",ComicBook,-71.412834,41.823989
"Kennedy, John E. Jr.",,ComicBook,,
"Kiernan, Kenny",,ComicBook,,
"Klauba, Douglas",,ComicBook,,
"Knight, Milton","Pasadena, CA",ComicBook,-118.144516,34.147785
"Knighton, Laurence",,ComicBook,,
"Koeb, Bill","Chapel Hill, NC",ComicBook,-79.055845,35.9132
"Korsak, Mark","New York, NY",ComicBook,-74.005973,40.712775
"Kotulis, Brian","Rochester Hills, MI",ComicBook,-83.149932,42.658366
"Kowalewski, Tegan","Philadelphia, PA",ComicBook,-75.165222,39.952584
"Krejca, Gary",,ComicBook,,
"Kunkel, Dana","Washington, DC",ComicBook,-77.036871,38.907192
"Lacko, John",,ComicBook,,
"Landerman, Daniel","South Pasadena, CA",ComicBook,-118.150349,34.11612
"Larks, David",,ComicBook,,
"Lau, Chi-Yun",,ComicBook,,
"Lawson, Todd",,ComicBook,,
"Lee, Jae",,ComicBook,,
"Leon, Karen","Flushing, NY",ComicBook,-73.833079,40.767499
"Leutz, Ty","Brighton, MI",ComicBook,-83.780221,42.529477
"Lewis, Pat","Pittsburgh, PA",ComicBook,-79.995886,40.440625
"Lim, Jane",,Animation,,
"Limon, Jason",,Animation,,
Little Friends of Printmaking,,Animation,,
"Littman, Wally","Teaneck, NJ",Animation,-74.011654,40.893247
Lizard Graphix Studios,,Animation,,
"Lizarraga, Bob",,Animation,,
"Longstreth, Alec","Santa Fe, NM",Animation,-105.937799,35.686975
"Lorenz, Lee",,Animation,,
"Loughran, PJ",,Animation,,
"Loveless, Roger","Bountiful, UT",Animation,-111.880771,40.88939
"Luzuriaga, Denis",,Animation,,
"MacDonald, Ross","Newtown, CT",Animation,-73.303565,41.414117
"Mack, David",,Animation,,
"Macklin, Myron",,Animation,,
"Madden, Matt","Brooklyn, NY",Animation,-73.944158,40.678178
"Mahfood, Jim",,Animation,,
"Mahoney, J.F.",,Animation,,
"Malia, James","Carpinteria, CA",Animation,-119.518456,34.398884
"Manley, Kirk",,Animation,,
"Marrero, Carlos",,Animation,,
"Martin, Jason",,Animation,,
"Martineau, Philip","San Francisco, CA",Animation,-122.419416,37.774929
"Matcho, Mark",,Animation,,
"Max, Deborah Dudley","Bay Shore, NY",Animation,-73.245395,40.725099
"Maximus, Thadeus Artworks","Whitby, ON",Animation,-78.942933,43.897545
"Mayer, Bill","Decatur, GA",Animation,-84.296312,33.774828
"Mayforth, Hal",,Animation,,
McCoy Illustration,"Bloomingdale, NJ",Animation,-74.326539,41.002042
"McDonnell, Peter",,Animation,,
"McKean, Dave",,Animation,,
"McPherson, Tara",,Animation,,
"Meister, Michael",,Animation,,
"Mesker, Michael",,Animation,,
"Migdal, R.L Creative Multimedia","Brooklyn, NY",Animation,-73.944158,40.678178
"Minick, Samuel A.",,Animation,,
"Minier, Aaron Illustration",,Animation,,
Miracle Studios,,Animation,,
"Miripolsky, Andre","Los Angeles, CA",Animation,-118.243685,34.052234
"Moeller, Christopher","Pittsburgh, PA",Animation,-79.995886,40.440625
"Moffitt, Erich J.","Charlotte, NC",Animation,-80.843127,35.227087
"Moir, Andrew Illustration",,Animation,,
"Monlux, Mark",,Animation,,
"Mooney, Scott","Guelph, ON",Animation,-80.248167,43.544805
"Moore, Harry",,Animation,,
"Moore, Monte Michael","Littleton, CO",Animation,-105.01665,39.613321
Morgan Carver,"Los Angeles, CA",Animation,-118.243685,34.052234
"Moriarity, Pat","Port Orchard, WA",Animation,-122.636249,47.540373
"Morrison, Steven Illustration","Decatur, GA",Animation,-84.296312,33.774828
"Morse, Scott",,Animation,,
"Motzkus, Roger","West Valley City, UT",Animation,-112.00105,40.691613
Murphy Toons Illustration,"Austin, TX",Animation,-97.743061,30.267153
"Muth, Jon J.",,Animation,,
"Myers, J. William","Nashville, TN",Animation,-86.781602,36.162664
"Myrick, Jacob",,Animation,,
"Nagata, Mark","San Francisco, CA",Animation,-122.419416,37.774929
Napoleon Group,"New York, NY",Animation,-74.005973,40.712775
"Naprstek, Joel F.","Park Ridge, NJ",Animation,-74.040696,41.037597
"Neely, Scott",,Animation,,
"Negron, Reuben",,Animation,,
"Niemeyer, Paul E.","Homer Glen, IL",Animation,-87.938111,41.600032
"Noland, Fred","Oakland, CA",Animation,-122.271114,37.804364
"Nordling, Todd","Shoreline, WA",Animation,-122.345697,47.755966
Norton/Jeff Norwell Illustration Inc.,"Olympia, WA",Animation,-122.900695,47.037874
"Oakey, Richard","Lansdowne, PA",Animation,-75.271851,39.938168
"O'Brien, James",,Animation,,
"O'Connell, Mitch","Chicago, IL",Animation,-87.629798,41.878114
"Ogami, Nancy Design",,Animation,,
"Olsen, Skot",,ComicBook,,
"O'Neill, Gerry","Bahama, NC",ComicBook,-78.876674,36.165976
"Orloff, Isaac Illustration","Baltimore, MD",ComicBook,-76.612189,39.290385
"Ostby, Fiona Illustration",,ComicBook,,
"Ostrom, Bob",,ComicBook,,
Outlines Inc.,"New York, NY",ComicBook,-74.005973,40.712775
"Ovard, Blake Illustrations","Cleburne, TX",ComicBook,-97.386684,32.347644
"Palacios, Robert","Alhambra, CA",ComicBook,-118.127015,34.095287
"Palm, Marc J.",,ComicBook,,
"Panosian, Dan","Los Angeles, CA",ComicBook,-118.243685,34.052234
"Parkes, Sean",,ComicBook,,
"Parsons, Guy Visual Communications Inc.",,ComicBook,,
"Patrick, Tom",,ComicBook,,
"Payne, Phillip",,ComicBook,,
"Peck, Everett",,ComicBook,,
"Pepoy, Andrew",,ComicBook,,
"Perez, Omaha",,ComicBook,,
Peter POP Art,,ComicBook,,
"Petersen, Eric","Olympia, WA",ComicBook,-122.900695,47.037874
"Petersen, Jeff",,ComicBook,,
"Phillips, Craig",,ComicBook,,
PicturePlane,,ComicBook,,
"Pittman, Eddie",,ComicBook,,
"Pittman, Jack",,ComicBook,,
"Power, Paul","Pacioma, CA",ComicBook,-118.410468,34.276769
"Powers, Jamie",,ComicBook,,
"Pratt, George",,ComicBook,,
"Proulx, Denis","Olympia, WA",ComicBook,-122.900695,47.037874
"Pulver, Harry Jr.","Minneapolis, MN",ComicBook,-93.265011,44.977753
"Purrington, Jared",,ComicBook,,
Putman Illustration & Design,"Minneapolis, MN",ComicBook,-93.265011,44.977753
Rabz Illustration,,ComicBook,,
"Raglin, Tim","Independence, KS",ComicBook,-95.708313,37.224236
"Reese, Brandon","Mint Hill, NC",ComicBook,-80.65703,35.17354
"Rekow, Chuck","Cincinnati, OH",ComicBook,-84.51202,39.103118
"Revell, Cindy",,ComicBook,,
"Rey, Rob",,ComicBook,,
Rickabaugh Graphics,,ComicBook,,
"Ricketts, M. Scott Illustration",,ComicBook,,
"Roberts, Victoria",,ComicBook,,
